repo,package_name,dependency_type,dependency,version_spec,min_version
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/eslint-plugin/node_modules/ignore,7.0.5,7.0.5
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/parser,7.18.0,7.18.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/parser,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/project-service,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/scope-manager,7.18.0,7.18.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/scope-manager,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/tsconfig-utils,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/type-utils,7.18.0,7.18.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/type-utils,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/types,7.18.0,7.18.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/types,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/typescript-estree,7.18.0,7.18.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/typescript-estree,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/utils,7.18.0,7.18.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/utils,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/visitor-keys,7.18.0,7.18.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@typescript-eslint/visitor-keys,8.56.1,8.56.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@ungap/structured-clone,1.3.0,1.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@valibot/to-json-schema,1.0.0,1.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vercel/oidc,3.1.0,3.1.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/coverage-v8,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/expect,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/expect,3.2.4,3.2.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/mocker,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/mocker,3.2.4,3.2.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/mocker/node_modules/estree-walker,3.0.3,3.0.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/pretty-format,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/pretty-format,3.2.4,3.2.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/runner,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/runner,3.2.4,3.2.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/snapshot,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/snapshot,3.2.4,3.2.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/spy,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/spy,3.2.4,3.2.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/ui,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/utils,4.0.18,4.0.18
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,@vitest/utils,3.2.4,3.2.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,accepts,2.0.0,2.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,acorn,8.15.0,8.15.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,acorn,8.16.0,8.16.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,acorn-jsx,5.3.2,5.3.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,acorn-jsx,5.3.2,5.3.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,agent-base,7.1.4,7.1.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ai,6.0.116,6.0.116
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ajv,6.12.6,6.12.6
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ajv,8.18.0,8.18.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ajv-formats,3.0.1,3.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ansi-escapes,7.2.0,7.2.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ansi-escapes,7.3.0,7.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ansi-regex,6.2.2,6.2.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ansi-regex,6.2.2,6.2.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ansi-styles,4.3.0,4.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ansi-styles,5.2.0,5.2.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ansis,3.17.0,3.17.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ansis,4.2.0,4.2.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,any-promise,1.3.0,1.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,any-promise,1.3.0,1.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,argparse,2.0.1,2.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,array-union,2.1.0,2.1.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,assertion-error,2.0.1,2.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,assertion-error,2.0.1,2.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ast-kit,1.4.3,1.4.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ast-v8-to-istanbul,0.3.10,0.3.10
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,balanced-match,1.0.2,1.0.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,balanced-match,4.0.4,4.0.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,base64-js,1.5.1,1.5.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,bignumber.js,9.3.1,9.3.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,body-parser,2.2.2,2.2.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,brace-expansion,2.0.2,2.0.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,brace-expansion,5.0.4,5.0.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,braces,3.0.3,3.0.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,buffer-equal-constant-time,1.0.1,1.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,bundle-require,5.1.0,5.1.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,bytes,3.1.2,3.1.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cac,6.7.14,6.7.14
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cac,6.7.14,6.7.14
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,call-bind-apply-helpers,1.0.2,1.0.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,call-bound,1.0.4,1.0.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,callsites,3.1.0,3.1.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,camelcase,6.3.0,6.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,chai,6.2.2,6.2.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,chai,5.3.3,5.3.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,chalk,4.1.2,4.1.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,chalk,4.1.2,4.1.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,chalk/node_modules/ansi-styles,4.3.0,4.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,char-regex,1.0.2,1.0.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,char-regex,1.0.2,1.0.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,check-error,2.1.3,2.1.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,chokidar,4.0.3,4.0.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,chokidar,4.0.3,4.0.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cli-highlight,2.1.11,2.1.11
